x-axis,D0-D7,D8-D15
second,,
+4.6000E-03,0,32
+4.8000E-03,255,239
+5.0000E-03,7,224
+5.2000E-03,7,0
+5.4000E-03,7,0
+5.6000E-03,7,0
+5.8000E-03,7,0
+6.0000E-03,7,0
+6.2000E-03,7,0
+6.4000E-03,7,0
+6.6000E-03,7,0
+6.8000E-03,7,0
+7.0000E-03,7,0
+7.2000E-03,7,16
+7.4000E-03,0,16
+7.6000E-03,0,16
+7.8000E-03,0,16
+8.0000E-03,0,16
+8.2000E-03,0,16
+8.4000E-03,0,16
+8.6000E-03,0,16
+8.8000E-03,0,16
+9.0000E-03,0,16
+9.2000E-03,0,16
+9.4000E-03,0,16
+9.6000E-03,255,127
+9.8000E-03,15,112
+10.0000E-03,15,0
+10.2000E-03,15,0
+10.4000E-03,15,0
+10.6000E-03,15,0
+10.8000E-03,15,0
+11.0000E-03,15,0
+11.2000E-03,15,0
+11.4000E-03,15,0
+11.6000E-03,15,0
+11.8000E-03,15,0
+12.0000E-03,15,128
+12.2000E-03,0,128
+12.4000E-03,0,128
+12.6000E-03,0,128
+12.8000E-03,0,128
+13.0000E-03,0,128
+13.2000E-03,0,128
+13.4000E-03,0,128
+13.6000E-03,0,128
+13.8000E-03,0,128
+14.0000E-03,0,128
+14.2000E-03,0,128
+14.4000E-03,255,191
+14.6000E-03,10,176
+14.8000E-03,10,0
+15.0000E-03,10,0
+15.2000E-03,10,0
+15.4000E-03,10,0
+15.6000E-03,10,0
+15.8000E-03,10,0
+16.0000E-03,10,0
+16.2000E-03,10,0
+16.4000E-03,10,0
+16.6000E-03,10,0
+16.8000E-03,10,64
+17.0000E-03,0,64
+17.2000E-03,0,64
+17.4000E-03,0,64
+17.6000E-03,0,64
+17.8000E-03,0,64
+18.0000E-03,0,64
+18.2000E-03,0,64
+18.4000E-03,0,64
+18.6000E-03,0,64
+18.8000E-03,0,64
+19.0000E-03,0,64
+19.2000E-03,255,223
+19.4000E-03,15,208
+19.6000E-03,15,208
+19.8000E-03,15,0
+20.0000E-03,15,0
+20.2000E-03,15,0
+20.4000E-03,15,0
+20.6000E-03,15,0
+20.8000E-03,15,0
+21.0000E-03,15,0
+21.2000E-03,15,0
+21.4000E-03,15,0
+21.6000E-03,15,32
+21.8000E-03,0,32
+22.0000E-03,0,32
+22.2000E-03,0,32
+22.4000E-03,0,32
+22.6000E-03,0,32
+22.8000E-03,0,32
+23.0000E-03,0,32
+23.2000E-03,0,32
+23.4000E-03,0,32
+23.6000E-03,0,32
+23.8000E-03,0,32
+24.0000E-03,0,32
+24.2000E-03,255,239
+24.4000E-03,7,224
+24.6000E-03,7,0
+24.8000E-03,7,0
+25.0000E-03,7,0
+25.2000E-03,7,0
+25.4000E-03,7,0
+25.6000E-03,7,0
+25.8000E-03,7,0
+26.0000E-03,7,0
+26.2000E-03,7,0
+26.4000E-03,7,0
+26.6000E-03,7,16
+26.8000E-03,0,16
+27.0000E-03,0,16
+27.2000E-03,0,16
+27.4000E-03,0,16
+27.6000E-03,0,16
+27.8000E-03,0,16
+28.0000E-03,0,16
+28.2000E-03,0,16
+28.4000E-03,0,16
+28.6000E-03,0,16
+28.8000E-03,0,16
+29.0000E-03,255,127
+29.2000E-03,15,112
+29.4000E-03,15,0
+29.6000E-03,15,0
+29.8000E-03,15,0
+30.0000E-03,15,0
+30.2000E-03,15,0
+30.4000E-03,15,0
+30.6000E-03,15,0
+30.8000E-03,15,0
+31.0000E-03,15,0
+31.2000E-03,15,0
+31.4000E-03,15,128
+31.6000E-03,0,128
+31.8000E-03,0,128
+32.0000E-03,0,128
+32.2000E-03,0,128
+32.4000E-03,0,128
+32.6000E-03,0,128
+32.8000E-03,0,128
+33.0000E-03,0,128
